...1,mm,date,cage,location,taxon,trt,trt2,a,b,param_source,param_taxon,mg_dm
1,2.744,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.48782387092690116
2,1.606,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2103877743264139
3,1.74,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2385955391975217
4,3.009,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5637970962205812
5,1.67,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.22369942083809635
6,5.249,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3505797047018282
7,1.461,6/12/2017,1,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.18134301792471136
8,4.502,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.061320664689683
9,5.241,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3473493920391488
10,1.814,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2547185265738735
11,3.975,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.8728895591079804
12,1.314,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.15353052089981378
13,1.73,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.23644622351186115
14,2.596,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.4471552770171299
15,1.474,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.18388277500265196
16,4.454,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0436090436646674
17,2.957,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5485757171155881
18,4.471,6/12/2017,8,below,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0498695304045487
19,1.241,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.14035299902375065
20,4.801,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1740613149153238
21,1.692,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.22834345248096743
22,1.486,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.18623852817513184
23,4.832,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1859852102256496
24,4.674,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1256704657685848
25,4.516,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0665069138730763
26,3.705,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7816232931947614
27,2.178,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.33943050042114353
28,2.337,6/12/2017,6,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.37913526199236947
29,4.274,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.97816066170627
30,6.851,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.0517938748877103
31,5.292,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3679906900014538
32,6.178,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.7443402786603344
33,3.525,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7228360774420193
34,3.115,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5952907579467512
35,5.858,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6045989612869744
36,6.294,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.7960357605016393
37,2.577,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.4420278542292625
38,2.915,6/12/2017,8,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5363923036112305
39,2.702,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.47615241476404535
40,6.197,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.752770071117324
41,3.9,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.8471716871539817
42,7.228,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.231816509628739
43,2.294,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.3682405913384492
44,2.981,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5555821734046887
45,5.143,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3080066235137489
46,2.508,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.423588562958975
47,5.702,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.538022625672974
48,1.685,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.22686204946929994
49,4.872,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.201435413363109
50,2.92,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5378374965688828
51,1.68,6/12/2017,10,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.22580604924820374
52,5.144,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3084059399039125
53,2.753,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.49033822645620745
54,5.098,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2900832450700745
55,1.883,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2700940408978653
56,1.427,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.17476144935037652
57,4.998,6/12/2017,4,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2505760734281914
58,4.562,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.083611963270969
59,2.978,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5547046016538371
60,1.9,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2739322429431994
61,2.172,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.33796359319495084
62,2.119,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.32510646212812944
63,2.826,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5109051580434217
64,1.411,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.1716949065077628
65,1.661,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2218095919844983
66,5.085,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2849221120529657
