X1,id,species,date,total_mgdmper_ind_per_species_per_date,prey_taxon,X,loc,sample,method,length_mm,total,notes,number,prey_mg_dm,mg_diet_dm,mgdm01,date2,prey_mg_inverse
1,1001,bluegill,2017-06-23,24.961,fish_yoy,1,below,lavage,lavage,81,90,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
2,1001,bluegill,2017-06-23,24.961,chiro_l,1,below,lavage,lavage,81,90,NA,14,1.04,14.56,14.57,2017-06-23,0.9615384615384615
3,1001,bluegill,2017-06-23,24.961,sciaridae_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
4,1001,bluegill,2017-06-23,24.961,hymenoptera_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
5,1001,bluegill,2017-06-23,24.961,unidentified_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
6,1001,bluegill,2017-06-23,24.961,coleo_a,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
7,1001,bluegill,2017-06-23,24.961,ephemeroptera_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
8,1001,bluegill,2017-06-23,24.961,ostracod_unknown,1,below,lavage,lavage,81,90,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
9,1001,bluegill,2017-06-23,24.961,chiro_a,1,below,lavage,lavage,81,90,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
10,1001,bluegill,2017-06-23,24.961,copepod_unknown,1,below,lavage,lavage,81,90,NA,1,0.42,0.42,0.43,2017-06-23,2.380952380952381
11,1001,bluegill,2017-06-23,24.961,coleo_l,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
12,1001,bluegill,2017-06-23,24.961,collembola_unknown,1,below,lavage,lavage,81,90,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
13,1001,bluegill,2017-06-23,24.961,hemiptera_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
