id,species,date2,prey_stage,mg_dmtotal
1005,bluegill,2017-06-23,not_pa,907.321
1006,largemouth,2017-06-23,not_pa,900.101
1030,largemouth,2017-06-23,not_pa,900.01
1043,bluegill,2017-06-13,not_pa,61.44
1045,bluegill,2017-06-13,not_pa,55.23
1046,spotfin,2017-06-13,not_pa,29.439999999999998
1022,bluegill,2017-06-28,not_pa,24.32
1052,spotfin,2017-06-13,not_pa,23.235
1011,bluegill,2017-06-23,not_pa,20.001
1049,bluegill,2017-06-13,not_pa,17.96
1001,bluegill,2017-06-23,not_pa,15.611
1024,spotfin,2017-06-28,pa,15.3
1065,rivershiner,2017-06-13,not_pa,13.231
1050,bluegill,2017-06-13,not_pa,12.950000000000001
1002,bluegill,2017-06-23,not_pa,10.06
1001,bluegill,2017-06-23,pa,9.35
1069,spotfin,2017-06-23,pa,8.5
1004,bluegill,2017-06-23,not_pa,7.293
1013,spotfin,2017-06-13,not_pa,6.94
1002,bluegill,2017-06-23,pa,5.95
1022,bluegill,2017-06-28,pa,5.95
1073,spotfin,2017-06-23,not_pa,5.91
1031,spotfin,2017-06-28,not_pa,5.68
1067,largemouth,2017-06-13,not_pa,5.66
1053,largemouth,2017-06-13,not_pa,5.37
1010,bluegill,2017-06-23,not_pa,5.33
1029,bluegill,2017-06-23,not_pa,5.21
1072,spotfin,2017-06-23,pa,5.1
1060,rivershiner,2017-06-13,not_pa,4.9799999999999995
1023,bluegill,2017-06-28,not_pa,4.93
1052,spotfin,2017-06-13,pa,4.25
1024,spotfin,2017-06-28,not_pa,4.2
1013,spotfin,2017-06-13,pa,3.4
1049,bluegill,2017-06-13,pa,3.4
1012,bluegill,2017-06-23,not_pa,3.251
1009,bluegill,2017-06-23,not_pa,3.24
1056,bluegill,2017-06-13,not_pa,3.21
1072,spotfin,2017-06-23,not_pa,3.16
1015,bluegill,2017-06-28,not_pa,3.14
1069,spotfin,2017-06-23,not_pa,3.14
1073,spotfin,2017-06-23,pa,2.69
1010,bluegill,2017-06-23,pa,2.55
1050,bluegill,2017-06-13,pa,2.55
1061,rivershiner,2017-06-13,not_pa,2.46
1068,largemouth,2017-06-13,not_pa,2.23
1057,spotfin,2017-06-13,not_pa,2.21
1051,largemouth,2017-06-13,not_pa,2.18
1064,rivershiner,2017-06-13,not_pa,2.16
1014,spotfin,2017-06-13,pa,1.98
1028,spotfin,2017-06-28,pa,1.7
1035,bluegill,2017-06-28,pa,1.7
1041,spotfin,2017-06-28,pa,1.7
1065,rivershiner,2017-06-13,pa,1.7
1062,rivershiner,2017-06-13,not_pa,1.56
1028,spotfin,2017-06-28,not_pa,1.45
1003,spotfin,2017-06-23,not_pa,1.42
1027,spotfin,2017-06-28,not_pa,1.42
1055,spotfin,2017-06-13,not_pa,1.3
1058,spotfin,2017-06-13,not_pa,1.236
1041,spotfin,2017-06-28,not_pa,1.12
1066,rivershiner,2017-06-13,not_pa,1.11
1016,largemouth,2017-06-23,not_pa,1.1
1070,spotfin,2017-06-23,not_pa,1.08
1008,spotfin,2017-06-23,pa,0.99
1009,bluegill,2017-06-23,pa,0.85
1011,bluegill,2017-06-23,pa,0.85
1020,spotfin,2017-06-28,pa,0.85
1023,bluegill,2017-06-28,pa,0.85
1034,spotfin,2017-06-28,pa,0.85
1043,bluegill,2017-06-13,pa,0.85
1051,largemouth,2017-06-13,pa,0.85
1064,rivershiner,2017-06-13,pa,0.85
1068,largemouth,2017-06-13,pa,0.85
1070,spotfin,2017-06-23,pa,0.85
1034,spotfin,2017-06-28,not_pa,0.72
1054,spotfin,2017-06-13,not_pa,0.72
1020,spotfin,2017-06-28,not_pa,0.71
1021,spotfin,2017-06-28,pa,0.71
1026,largemouth,2017-06-28,not_pa,0.71
1007,largemouth,2017-06-23,not_pa,0.57
1032,largemouth,2017-06-28,not_pa,0.38
1059,largemouth,2017-06-13,not_pa,0.16
1044,spotfin,2017-06-13,not_pa,0.15
1033,largemouth,2017-06-28,not_pa,0.1
1037,rivershiner,2017-06-28,not_pa,0.07
1063,largemouth,2017-06-13,not_pa,0.04
1017,largemouth,2017-06-28,not_pa,0.03
1014,spotfin,2017-06-13,not_pa,0.02
1025,spotfin,2017-06-28,not_pa,0.01
1038,spotfin,2017-06-28,not_pa,0.01
1042,bluegill,2017-06-13,not_pa,0.01
1003,spotfin,2017-06-23,pa,0
1004,bluegill,2017-06-23,pa,0
1005,bluegill,2017-06-23,pa,0
1006,largemouth,2017-06-23,pa,0
1007,largemouth,2017-06-23,pa,0
1008,spotfin,2017-06-23,not_pa,0
1012,bluegill,2017-06-23,pa,0
1015,bluegill,2017-06-28,pa,0
1016,largemouth,2017-06-23,pa,0
1017,largemouth,2017-06-28,pa,0
1018,spotfin,2017-06-28,not_pa,0
1018,spotfin,2017-06-28,pa,0
1019,spotfin,2017-06-28,not_pa,0
1019,spotfin,2017-06-28,pa,0
1021,spotfin,2017-06-28,not_pa,0
1025,spotfin,2017-06-28,pa,0
1026,largemouth,2017-06-28,pa,0
1027,spotfin,2017-06-28,pa,0
1029,bluegill,2017-06-23,pa,0
1030,largemouth,2017-06-23,pa,0
1031,spotfin,2017-06-28,pa,0
1032,largemouth,2017-06-28,pa,0
1033,largemouth,2017-06-28,pa,0
1035,bluegill,2017-06-28,not_pa,0
1036,spotfin,2017-06-28,not_pa,0
1036,spotfin,2017-06-28,pa,0
1037,rivershiner,2017-06-28,pa,0
1038,spotfin,2017-06-28,pa,0
1039,rivershiner,2017-06-28,not_pa,0
1039,rivershiner,2017-06-28,pa,0
1040,largemouth,2017-06-28,not_pa,0
1040,largemouth,2017-06-28,pa,0
1042,bluegill,2017-06-13,pa,0
1044,spotfin,2017-06-13,pa,0
1045,bluegill,2017-06-13,pa,0
1046,spotfin,2017-06-13,pa,0
1048,spotfin,2017-06-13,not_pa,0
1048,spotfin,2017-06-13,pa,0
1053,largemouth,2017-06-13,pa,0
1054,spotfin,2017-06-13,pa,0
1055,spotfin,2017-06-13,pa,0
1056,bluegill,2017-06-13,pa,0
1057,spotfin,2017-06-13,pa,0
1058,spotfin,2017-06-13,pa,0
1059,largemouth,2017-06-13,pa,0
1060,rivershiner,2017-06-13,pa,0
1061,rivershiner,2017-06-13,pa,0
1062,rivershiner,2017-06-13,pa,0
1063,largemouth,2017-06-13,pa,0
1066,rivershiner,2017-06-13,pa,0
1067,largemouth,2017-06-13,pa,0
1071,rivershiner,2017-06-23,not_pa,0
1071,rivershiner,2017-06-23,pa,0
