id,species,date,total_mgdmper_ind_per_species_per_date,prey_taxon,X,loc,sample,method,length_mm,total,notes,number,prey_mg_dm,mg_diet_dm
1001,bluegill,6/23/2017,24.961,fish_yoy,1,below,lavage,lavage,81,90,NA,0,900,0
1001,bluegill,6/23/2017,24.961,chiro_l,1,below,lavage,lavage,81,90,NA,14,1.04,14.56
1001,bluegill,6/23/2017,24.961,sciaridae,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,terr_hymen,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,unk_ins,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,coleo_ad,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,mayfly,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,ostracod,1,below,lavage,lavage,81,90,NA,0,0.355,0
1001,bluegill,6/23/2017,24.961,chiro_a,1,below,lavage,lavage,81,90,NA,0,0.99,0
1001,bluegill,6/23/2017,24.961,copepod,1,below,lavage,lavage,81,90,NA,1,0.42,0.42
1001,bluegill,6/23/2017,24.961,coleo_l,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,springtail,1,below,lavage,lavage,81,90,NA,0,0.42,0
1001,bluegill,6/23/2017,24.961,terr_hemip,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,corixid,1,below,lavage,lavage,81,90,NA,63,0.01,0.63
1001,bluegill,6/23/2017,24.961,spider,1,below,lavage,lavage,81,90,NA,0,0.71,0
1001,bluegill,6/23/2017,24.961,chiro_p,1,below,lavage,lavage,81,90,NA,11,0.85,9.35
1001,bluegill,6/23/2017,24.961,zoop,1,below,lavage,lavage,81,90,NA,1,0.001,0.001
1001,bluegill,6/23/2017,24.961,seed,1,below,lavage,lavage,81,90,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,terr_hemip,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,corixid,2,below,lavage,lavage,84,119,NA,103,0.01,1.03
1002,bluegill,6/23/2017,16.01,mayfly,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,chiro_l,2,below,lavage,lavage,84,119,NA,8,1.04,8.32
1002,bluegill,6/23/2017,16.01,unk_ins,2,below,lavage,lavage,84,119,NA,1,0.71,0.71
1002,bluegill,6/23/2017,16.01,zoop,2,below,lavage,lavage,84,119,NA,0,0.001,0
1002,bluegill,6/23/2017,16.01,coleo_ad,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,chiro_p,2,below,lavage,lavage,84,119,NA,7,0.85,5.95
1002,bluegill,6/23/2017,16.01,fish_yoy,2,below,lavage,lavage,84,119,NA,0,900,0
1002,bluegill,6/23/2017,16.01,ostracod,2,below,lavage,lavage,84,119,NA,0,0.355,0
1002,bluegill,6/23/2017,16.01,spider,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,copepod,2,below,lavage,lavage,84,119,NA,0,0.42,0
1002,bluegill,6/23/2017,16.01,springtail,2,below,lavage,lavage,84,119,NA,0,0.42,0
1002,bluegill,6/23/2017,16.01,terr_hymen,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,sciaridae,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,seed,2,below,lavage,lavage,84,119,NA,0,0.71,0
1002,bluegill,6/23/2017,16.01,chiro_a,2,below,lavage,lavage,84,119,NA,0,0.99,0
1002,bluegill,6/23/2017,16.01,coleo_l,2,below,lavage,lavage,84,119,NA,0,0.71,0
