...1,date,stat,stat2,before,loc,trt,trt2,days,area,totm2d,total,chir,cera,doli,ephe,tric,simu,coleo,odo,hem
1,05/28/17,4,4,pre,Above,Ambient,ctrl,4,0.36,17,25,25,NA,NA,NA,NA,NA,NA,NA,NA
2,05/28/17,4,14,pre,Below,Ambient,ctrl,4,0.36,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3,05/28/17,1,11,pre,Below,Ambient,ctrl,4,0.36,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
4,05/28/17,2,2,pre,Above,Cage Control,ctrl,4,0.36,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
5,05/28/17,1,1,pre,Above,Exclusion,exc,4,0.36,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA
6,05/28/17,5,5,pre,Above,Exclusion,exc,4,0.36,8,11,11,NA,NA,NA,NA,NA,NA,NA,NA
7,05/28/17,3,3,pre,Above,Exclusion,exc,4,0.36,13,19,19,NA,NA,NA,NA,NA,NA,NA,NA
8,05/28/17,5,15,pre,Below,Exclusion,exc,4,0.36,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
9,05/28/17,3,13,pre,Below,Exclusion,exc,4,0.36,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA
10,05/28/17,2,12,pre,Below,Exclusion,exc,4,0.36,5,7,5,NA,NA,NA,NA,NA,2,NA,NA
11,06/06/17,4,4,post,Above,Ambient,ctrl,4,0.36,22,32,32,NA,NA,NA,NA,NA,NA,NA,NA
12,06/06/17,10,10,post,Above,Ambient,ctrl,4,0.36,33,48,48,NA,NA,NA,NA,NA,NA,NA,NA
13,06/06/17,7,7,post,Above,Ambient,ctrl,4,0.36,78,113,112,NA,NA,NA,NA,NA,NA,NA,1
14,06/06/17,10,20,post,Below,Ambient,ctrl,4,0.36,6,9,9,NA,NA,NA,NA,NA,NA,NA,NA
15,06/06/17,6,16,post,Below,Ambient,ctrl,4,0.36,9,13,13,NA,NA,NA,NA,NA,NA,NA,NA
16,06/06/17,4,14,post,Below,Ambient,ctrl,4,0.36,15,22,22,NA,NA,NA,NA,NA,NA,NA,NA
17,06/06/17,1,11,post,Below,Ambient,ctrl,4,0.36,21,30,30,NA,NA,NA,NA,NA,NA,NA,NA
18,06/06/17,8,18,post,Below,Ambient,ctrl,4,0.36,34,49,49,NA,NA,NA,NA,NA,NA,NA,NA
19,06/06/17,8,8,post,Above,Cage Control,ctrl,4,0.36,8,11,11,NA,NA,NA,NA,NA,NA,NA,NA
20,06/06/17,2,2,post,Above,Cage Control,ctrl,4,0.36,20,29,28,NA,NA,NA,NA,NA,NA,1,NA
21,06/06/17,9,19,post,Below,Cage Control,ctrl,4,0.36,13,18,18,NA,NA,NA,NA,NA,NA,NA,NA
22,06/06/17,5,5,post,Above,Exclusion,exc,4,0.36,16,23,23,NA,NA,NA,NA,NA,NA,NA,NA
23,06/06/17,1,1,post,Above,Exclusion,exc,4,0.36,26,37,37,NA,NA,NA,NA,NA,NA,NA,NA
24,06/06/17,6,6,post,Above,Exclusion,exc,4,0.36,51,74,74,NA,NA,NA,NA,NA,NA,NA,NA
25,06/06/17,3,3,post,Above,Exclusion,exc,4,0.36,56,80,80,NA,NA,NA,NA,NA,NA,NA,NA
26,06/06/17,9,9,post,Above,Exclusion,exc,4,0.36,84,121,121,NA,NA,NA,NA,NA,NA,NA,NA
27,06/06/17,2,12,post,Below,Exclusion,exc,4,0.36,15,21,21,NA,NA,NA,NA,NA,NA,NA,NA
28,06/06/17,5,15,post,Below,Exclusion,exc,4,0.36,19,27,27,NA,NA,NA,NA,NA,NA,NA,NA
29,06/06/17,7,17,post,Below,Exclusion,exc,4,0.36,19,28,27,NA,NA,NA,NA,NA,1,NA,NA
30,06/06/17,3,13,post,Below,Exclusion,exc,4,0.36,64,92,92,NA,NA,NA,NA,NA,NA,NA,NA
31,06/12/17,4,4,post,Above,Ambient,ctrl,4,0.36,36,52,52,NA,NA,NA,NA,NA,NA,NA,NA
32,06/12/17,10,10,post,Above,Ambient,ctrl,4,0.36,58,83,82,1,NA,NA,NA,NA,NA,NA,NA
33,06/12/17,7,7,post,Above,Ambient,ctrl,4,0.36,351,506,506,NA,NA,NA,NA,NA,NA,NA,NA
34,06/12/17,8,18,post,Below,Ambient,ctrl,4,0.36,40,57,57,NA,NA,NA,NA,NA,NA,NA,NA
35,06/12/17,1,11,post,Below,Ambient,ctrl,4,0.36,49,70,70,NA,NA,NA,NA,NA,NA,NA,NA
36,06/12/17,6,16,post,Below,Ambient,ctrl,4,0.36,50,72,71,1,NA,NA,NA,NA,NA,NA,NA
37,06/12/17,4,14,post,Below,Ambient,ctrl,4,0.36,179,258,257,1,NA,NA,NA,NA,NA,NA,NA
38,06/12/17,8,8,post,Above,Cage Control,ctrl,4,0.36,28,41,41,NA,NA,NA,NA,NA,NA,NA,NA
39,06/12/17,2,2,post,Above,Cage Control,ctrl,4,0.36,34,49,49,NA,NA,NA,NA,NA,NA,NA,NA
40,06/12/17,9,19,post,Below,Cage Control,ctrl,4,0.36,22,31,31,NA,NA,NA,NA,NA,NA,NA,NA
41,06/12/17,6,6,post,Above,Exclusion,exc,4,0.36,119,171,168,3,NA,NA,NA,NA,NA,NA,NA
42,06/12/17,9,9,post,Above,Exclusion,exc,4,0.36,226,325,325,NA,NA,NA,NA,NA,NA,NA,NA
43,06/12/17,1,1,post,Above,Exclusion,exc,4,0.36,256,368,368,NA,NA,NA,NA,NA,NA,NA,NA
44,06/12/17,5,5,post,Above,Exclusion,exc,4,0.36,407,586,585,NA,NA,NA,NA,NA,NA,NA,1
45,06/12/17,3,3,post,Above,Exclusion,exc,4,0.36,435,627,627,NA,NA,NA,NA,NA,NA,NA,NA
46,06/12/17,3,13,post,Below,Exclusion,exc,4,0.36,52,75,75,NA,NA,NA,NA,NA,NA,NA,NA
