"","id","loc","sample","method","date","species","length_mm","corixid","chiro_l","chiro_p","chiro_a","chiro_tot","mayfly","zoop","copepod","springtail","unk_ins","unk_adult_ins","spider","sciaridae","fish_yoy","seed","coleo_ad","coleo_l","terr_hymen","terr_hemip","ostracod","total","notes"
"1",1001,"below","lavage","field_lavage","6/23/2017","bluegill",81,63,14,11,0,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90,NA
"2",1002,"below","lavage","field_lavage","6/23/2017","bluegill",84,103,8,7,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119,NA
"3",1003,"below","lavage","field_lavage","6/23/2017","spotfin",61,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NA
"4",1004,"below","lavage","field_lavage","6/23/2017","bluegill",47,1,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA
"5",1005,"below","lavage","field_lavage","6/23/2017","bluegill",56,24,6,0,0,6,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,34,NA
"6",1006,NA,"lavage","field_lavage","6/23/2017","largemouth",54,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,NA
"7",1007,"below","lavage","field_lavage","6/23/2017","largemouth",47,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,NA
"8",1008,"above","lavage","field_lavage","6/23/2017","spotfin",64,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"9",1009,"below","lavage","field_lavage","6/23/2017","bluegill",55,12,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA
"10",1010,"below","lavage","field_lavage","6/23/2017","bluegill",73,31,4,3,0,7,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,60,NA
"11",1011,"above","gut+lavage","field_lavage + dissection","6/23/2017","bluegill",61,24,19,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,NA
"12",1012,"below","lavage","field_lavage","6/23/2017","bluegill",53,4,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,NA
"13",1013,"below","gut","dissection","6/13/2017","spotfin",57,32,5,4,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43,NA
"14",1014,"below","gut","dissection","6/13/2017","spotfin",59,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,NA
"15",1015,"below","lavage","field_lavage","6/28/2017","bluegill",54,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA
"16",1016,"below","lavage","field_lavage","6/23/2017","largemouth",51,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA
"17",1017,"above","lavage","field_lavage","6/28/2017","largemouth",50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"18",1018,"above","lavage","field_lavage","6/28/2017","spotfin",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"19",1019,"above","lavage","field_lavage","6/28/2017","spotfin",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"20",1020,"above","lavage","field_lavage","6/28/2017","spotfin",69,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,NA
"21",1021,"above","lavage","field_lavage","6/28/2017","spotfin",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA
"22",1022,"below","lavage","field_lavage","6/28/2017","bluegill",79,40,23,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,NA
"23",1023,"above","lavage","field_lavage","6/28/2017","bluegill",56,6,4,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,NA
"24",1024,"below","lavage","field_lavage","6/28/2017","spotfin",59,4,4,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,NA
"25",1025,"above","lavage","field_lavage","6/28/2017","spotfin",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"26",1026,"below","lavage","field_lavage","6/28/2017","largemouth",44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"27",1027,"below","lavage","field_lavage","6/28/2017","spotfin",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,NA
"28",1028,"below","lavage","field_lavage","6/28/2017","spotfin",53,41,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,NA
"29",1029,"below","lavage","field_lavage","6/23/2017","bluegill",52,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA
"30",1030,"below","lavage","field_lavage","6/23/2017","largemouth",56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,NA
"31",1031,"above","lavage","field_lavage","6/28/2017","spotfin",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,NA
"32",1032,"above","lavage","field_lavage","6/28/2017","largemouth",57,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,NA
"33",1033,"below","lavage","field_lavage","6/28/2017","largemouth",42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA
"34",1034,"below","lavage","field_lavage","6/28/2017","spotfin",56,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,NA
"35",1035,NA,"lavage","field_lavage","6/28/2017","bluegill",60,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"36",1036,"below","lavage","field_lavage","6/28/2017","spotfin",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"37",1037,"below","lavage","field_lavage","6/28/2017","river_shiner",50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA
"38",1038,"below","lavage","field_lavage","6/28/2017","spotfin",63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"39",1039,"below","lavage","field_lavage","6/28/2017","river_shiner",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"40",1040,"below","lavage","field_lavage","6/28/2017","largemouth",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"41",1041,"below","lavage","field_lavage","6/28/2017","spotfin",61,8,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA
"42",1042,"below","whole_gut","dissection","6/13/2017","bluegill",64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"43",1043,"above","foregut","dissection","6/13/2017","bluegill",69,8,59,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,NA
