"","date","id","trt2","days","area","trt3","taxon","mg_dm","mg_dm_m2_d01"
"1","05/28/17","4 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",24.75,17.1975
"2","05/28/17","4 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",0.99,0.6975
"3","05/28/17","1 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",3.96,2.76
"4","05/28/17","2 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",3.96,2.76
"5","05/28/17","1 Above","exc",4,0.36,"ctrl","chiro_mg_dm",2.97,2.0725
"6","05/28/17","5 Above","exc",4,0.36,"ctrl","chiro_mg_dm",10.89,7.5725
"7","05/28/17","3 Above","exc",4,0.36,"ctrl","chiro_mg_dm",18.81,13.0725
"8","05/28/17","5 Below","exc",4,0.36,"ctrl","chiro_mg_dm",3.96,2.76
"9","05/28/17","3 Below","exc",4,0.36,"ctrl","chiro_mg_dm",4.95,3.4475
"10","05/28/17","2 Below","exc",4,0.36,"ctrl","chiro_mg_dm",4.95,3.4475
"11","06/06/17","4 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",31.68,22.01
"12","06/06/17","10 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",47.52,33.01
"13","06/06/17","7 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",110.88,77.01
"14","06/06/17","10 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",8.91,6.1975
"15","06/06/17","6 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",12.87,8.9475
"16","06/06/17","4 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",21.78,15.135
"17","06/06/17","1 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",29.7,20.635
"18","06/06/17","8 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",48.51,33.6975
"19","06/06/17","8 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",10.89,7.5725
"20","06/06/17","2 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",27.72,19.26
"21","06/06/17","9 Below","ctrl",4,0.36,"ctrl","chiro_mg_dm",17.82,12.385
"22","06/06/17","5 Above","exc",4,0.36,"exc","chiro_mg_dm",22.77,15.8225
"23","06/06/17","1 Above","exc",4,0.36,"exc","chiro_mg_dm",36.63,25.4475
"24","06/06/17","6 Above","exc",4,0.36,"exc","chiro_mg_dm",73.26,50.885
"25","06/06/17","3 Above","exc",4,0.36,"exc","chiro_mg_dm",79.2,55.01
"26","06/06/17","9 Above","exc",4,0.36,"exc","chiro_mg_dm",119.79,83.1975
"27","06/06/17","2 Below","exc",4,0.36,"exc","chiro_mg_dm",20.79,14.4475
"28","06/06/17","5 Below","exc",4,0.36,"exc","chiro_mg_dm",26.73,18.5725
"29","06/06/17","7 Below","exc",4,0.36,"exc","chiro_mg_dm",26.73,18.5725
"30","06/06/17","3 Below","exc",4,0.36,"exc","chiro_mg_dm",91.08,63.26
"31","06/12/17","4 Above","ctrl",4,0.36,"ctrl","chiro_mg_dm",51.48,35.76
