"","mm","date","cage","location","taxon","trt","trt2"
"1",2.744,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"2",1.606,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"3",1.74,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"4",3.009,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"5",1.67,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"6",5.249,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"7",1.461,"6/12/2017",1,"below","chiro","Ambient","ctrl"
"8",4.502,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"9",5.241,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"10",1.814,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"11",3.975,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"12",1.314,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"13",1.73,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"14",2.596,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"15",1.474,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"16",4.454,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"17",2.957,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"18",4.471,"6/12/2017",8,"below","chiro","Ambient","ctrl"
"19",1.241,"6/12/2017",6,"above","chiro","Exclusion","exc"
"20",4.801,"6/12/2017",6,"above","chiro","Exclusion","exc"
"21",1.692,"6/12/2017",6,"above","chiro","Exclusion","exc"
"22",1.486,"6/12/2017",6,"above","chiro","Exclusion","exc"
"23",4.832,"6/12/2017",6,"above","chiro","Exclusion","exc"
"24",4.674,"6/12/2017",6,"above","chiro","Exclusion","exc"
"25",4.516,"6/12/2017",6,"above","chiro","Exclusion","exc"
"26",3.705,"6/12/2017",6,"above","chiro","Exclusion","exc"
"27",2.178,"6/12/2017",6,"above","chiro","Exclusion","exc"
"28",2.337,"6/12/2017",6,"above","chiro","Exclusion","exc"
"29",4.274,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"30",6.851,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"31",5.292,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"32",6.178,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"33",3.525,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"34",3.115,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"35",5.858,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"36",6.294,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"37",2.577,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"38",2.915,"6/12/2017",8,"above","chiro","Cage Control","ctrl"
"39",2.702,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"40",6.197,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"41",3.9,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"42",7.228,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"43",2.294,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"44",2.981,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"45",5.143,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"46",2.508,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"47",5.702,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"48",1.685,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"49",4.872,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"50",2.92,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"51",1.68,"6/12/2017",10,"above","chiro","Ambient","ctrl"
"52",5.144,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"53",2.753,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"54",5.098,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"55",1.883,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"56",1.427,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"57",4.998,"6/12/2017",4,"above","chiro","Exclusion","exc"
"58",4.562,"6/12/2017",3,"below","chiro","Exclusion","exc"
"59",2.978,"6/12/2017",3,"below","chiro","Exclusion","exc"
"60",1.9,"6/12/2017",3,"below","chiro","Exclusion","exc"
"61",2.172,"6/12/2017",3,"below","chiro","Exclusion","exc"
"62",2.119,"6/12/2017",3,"below","chiro","Exclusion","exc"
"63",2.826,"6/12/2017",3,"below","chiro","Exclusion","exc"
"64",1.411,"6/12/2017",3,"below","chiro","Exclusion","exc"
"65",1.661,"6/12/2017",3,"below","chiro","Exclusion","exc"
"66",5.085,"6/12/2017",3,"below","chiro","Exclusion","exc"
"67",2.437,"6/12/2017",3,"below","chiro","Exclusion","exc"
"68",7.409,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"69",4.482,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"70",2.805,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"71",4.49,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"72",2.386,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"73",3.056,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"74",5.28,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"75",7.932,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"76",4.873,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"77",5.57,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"78",2.744,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"79",1.922,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"80",1.901,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"81",5.202,"6/12/2017",2,"above","chiro","Cage Control","ctrl"
"82",4.17,"6/12/2017",5,"above","chiro","Exclusion","exc"
"83",4.804,"6/12/2017",5,"above","chiro","Exclusion","exc"
"84",5.168,"6/12/2017",5,"above","chiro","Exclusion","exc"
"85",3.458,"6/12/2017",5,"above","chiro","Exclusion","exc"
"86",3.776,"6/12/2017",5,"above","chiro","Exclusion","exc"
"87",4.597,"6/12/2017",5,"above","chiro","Exclusion","exc"
"88",5.375,"6/12/2017",5,"above","chiro","Exclusion","exc"
"89",5.042,"6/12/2017",5,"above","chiro","Exclusion","exc"
"90",3.692,"6/12/2017",5,"above","chiro","Exclusion","exc"
"91",2.864,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"92",6.58,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"93",1.477,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"94",2.354,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"95",5.938,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"96",3.097,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"97",3.035,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"98",4.326,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"99",2.973,"6/12/2017",9,"below","chiro","Cage Control","ctrl"
"100",4.364,"6/12/2017",7,"below","chiro","Exclusion","exc"
"101",5.298,"6/12/2017",7,"below","chiro","Exclusion","exc"
"102",4.98,"6/12/2017",7,"below","chiro","Exclusion","exc"
"103",6.674,"6/12/2017",7,"below","chiro","Exclusion","exc"
"104",4.716,"6/12/2017",7,"below","chiro","Exclusion","exc"
"105",5.158,"6/12/2017",7,"below","chiro","Exclusion","exc"
"106",5.437,"6/12/2017",7,"below","chiro","Exclusion","exc"
"107",2.928,"6/12/2017",7,"below","chiro","Exclusion","exc"
"108",5.373,"6/12/2017",7,"below","chiro","Exclusion","exc"
"109",2.527,"6/12/2017",7,"below","chiro","Exclusion","exc"
"110",4.501,"6/12/2017",9,"above","chiro","Exclusion","exc"
"111",1.904,"6/12/2017",9,"above","chiro","Exclusion","exc"
"112",1.949,"6/12/2017",9,"above","chiro","Exclusion","exc"
"113",1.924,"6/12/2017",9,"above","chiro","Exclusion","exc"
"114",5.675,"6/12/2017",9,"above","chiro","Exclusion","exc"
"115",4.476,"6/12/2017",9,"above","chiro","Exclusion","exc"
"116",10.58,"6/12/2017",9,"above","chiro","Exclusion","exc"
"117",3.371,"6/12/2017",9,"above","chiro","Exclusion","exc"
"118",2.784,"6/12/2017",9,"above","chiro","Exclusion","exc"
"119",5.986,"6/12/2017",9,"above","chiro","Exclusion","exc"
"120",5.174,"6/12/2017",9,"above","chiro","Exclusion","exc"
"121",2.441,"6/12/2017",9,"above","chiro","Exclusion","exc"
"122",2.879,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"123",4.321,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"124",3.436,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"125",6.892,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"126",3.226,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"127",4.877,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"128",5.485,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"129",5.984,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"130",2.704,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"131",2.856,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"132",3.619,"6/12/2017",7,"above","chiro","Ambient","ctrl"
"133",5.116,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"134",4.564,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"135",4.896,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"136",2.702,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"137",5.721,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"138",3.738,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"139",5.656,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"140",3.871,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"141",4.322,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"142",5.587,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"143",5.184,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"144",6.916,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"145",4.717,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"146",1.682,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"147",5.35,"6/12/2017",4,"above","chiro","Ambient","ctrl"
"148",3.533,"6/12/2017",1,"above","chiro","Exclusion","exc"
"149",2.843,"6/12/2017",1,"above","chiro","Exclusion","exc"
"150",2.282,"6/12/2017",1,"above","chiro","Exclusion","exc"
"151",3.665,"6/12/2017",1,"above","chiro","Exclusion","exc"
"152",5.739,"6/12/2017",1,"above","chiro","Exclusion","exc"
"153",5.933,"6/12/2017",1,"above","chiro","Exclusion","exc"
"154",3.109,"6/12/2017",1,"above","chiro","Exclusion","exc"
"155",3.272,"6/12/2017",1,"above","chiro","Exclusion","exc"
"156",2.624,"6/12/2017",1,"above","chiro","Exclusion","exc"
"157",4.895,"6/12/2017",5,"below","chiro","Exclusion","exc"
"158",4.953,"6/12/2017",5,"below","chiro","Exclusion","exc"
"159",1.677,"6/12/2017",5,"below","chiro","Exclusion","exc"
"160",6.531,"6/12/2017",5,"below","chiro","Exclusion","exc"
"161",4.704,"6/12/2017",5,"below","chiro","Exclusion","exc"
"162",6.237,"6/12/2017",5,"below","chiro","Exclusion","exc"
"163",3.363,"6/12/2017",5,"below","chiro","Exclusion","exc"
"164",2.686,"6/12/2017",5,"below","chiro","Exclusion","exc"
"165",6.525,"6/12/2017",5,"below","chiro","Exclusion","exc"
"166",3.668,"6/12/2017",5,"below","chiro","Exclusion","exc"
"167",4.478,"6/12/2017",5,"below","chiro","Exclusion","exc"
"168",3.568,"6/12/2017",5,"below","chiro","Exclusion","exc"
"169",4.919,"6/12/2017",5,"below","chiro","Exclusion","exc"
"170",5.968,"6/12/2017",2,"below","chiro","Exclusion","exc"
"171",10.953,"6/12/2017",2,"below","chiro","Exclusion","exc"
"172",5.443,"6/12/2017",2,"below","chiro","Exclusion","exc"
"173",6.249,"6/12/2017",2,"below","chiro","Exclusion","exc"
"174",6.039,"6/12/2017",2,"below","chiro","Exclusion","exc"
"175",6.678,"6/12/2017",2,"below","chiro","Exclusion","exc"
"176",5.905,"6/12/2017",2,"below","chiro","Exclusion","exc"
"177",4.952,"6/12/2017",2,"below","chiro","Exclusion","exc"
"178",4.977,"6/12/2017",2,"below","chiro","Exclusion","exc"
"179",4.738,"6/12/2017",2,"below","chiro","Exclusion","exc"
"180",4.016,"6/12/2017",2,"below","chiro","Exclusion","exc"
"181",5.642,"6/12/2017",2,"below","chiro","Exclusion","exc"
"182",2.208,"6/12/2017",2,"below","chiro","Exclusion","exc"
"183",1.865,"6/12/2017",2,"below","chiro","Exclusion","exc"
"184",3.356,"6/12/2017",2,"below","chiro","Exclusion","exc"
"185",5.006,"6/12/2017",2,"below","chiro","Exclusion","exc"
"186",4.059,"6/12/2017",2,"below","chiro","Exclusion","exc"
"187",4.351,"6/12/2017",3,"above","chiro","Exclusion","exc"
